scale,area,date,confirmed_observed,confirmed_imputed
healthzone,Tchomia,2026-06-14,1,0
healthzone,Mangala,2026-06-14,0,2
healthzone,Komanda,2026-06-14,2,1
healthzone,Nyakunde,2026-06-14,2,0
healthzone,Bambu,2026-06-14,1,0
healthzone,Logo,2026-06-14,1,0
healthzone,Aungba,2026-06-14,0,1
healthzone,Katwa,2026-06-14,2,0
national,,2026-06-15,35,12
province,Ituri,2026-06-15,29,12
province,Nord-Kivu,2026-06-15,6,0
healthzone,Aru,2026-06-15,1,0
healthzone,Bunia,2026-06-15,8,6
healthzone,Nyakunde,2026-06-15,3,0
healthzone,Butembo,2026-06-15,5,0
healthzone,Nizi,2026-06-15,1,0
healthzone,Rwampara,2026-06-15,6,2
healthzone,Drodro,2026-06-15,1,0
healthzone,Mongbwalu,2026-06-15,4,3
healthzone,Mambasa,2026-06-15,0,1
healthzone,Bambu,2026-06-15,4,0
healthzone,Mangala,2026-06-15,1,0
healthzone,Katwa,2026-06-15,1,0
national,,2026-06-16,27,8
province,Nord-Kivu,2026-06-16,4,0
province,Ituri,2026-06-16,23,8
healthzone,Rwampara,2026-06-16,5,4
healthzone,Bunia,2026-06-16,11,1
healthzone,Mangala,2026-06-16,0,1
healthzone,Nizi,2026-06-16,3,1
healthzone,Beni,2026-06-16,3,0
healthzone,Mongbwalu,2026-06-16,0,1
healthzone,Tchomia,2026-06-16,2,0
healthzone,Nyakunde,2026-06-16,2,0
healthzone,Katwa,2026-06-16,1,0
national,,2026-06-17,34,11
province,Ituri,2026-06-17,31,11
province,Nord-Kivu,2026-06-17,3,0
healthzone,Nizi,2026-06-17,3,2
healthzone,Rwampara,2026-06-17,7,1
healthzone,Mangala,2026-06-17,1,0
healthzone,Lita,2026-06-17,4,0
healthzone,Mongbwalu,2026-06-17,3,7
healthzone,Beni,2026-06-17,1,0
healthzone,Bunia,2026-06-17,12,0
healthzone,Tchomia,2026-06-17,1,0
healthzone,Katwa,2026-06-17,2,0
healthzone,Aru,2026-06-17,0,1
national,,2026-06-18,35,12
province,Nord-Kivu,2026-06-18,4,0
province,Ituri,2026-06-18,31,12
healthzone,Nizi,2026-06-18,2,1
healthzone,Lita,2026-06-18,1,1
healthzone,Bunia,2026-06-18,16,2
healthzone,Musienene,2026-06-18,2,0
healthzone,Nyakunde,2026-06-18,2,0
healthzone,Rwampara,2026-06-18,5,2
healthzone,Tchomia,2026-06-18,1,0
healthzone,Mangala,2026-06-18,0,1
healthzone,Bambu,2026-06-18,1,0
healthzone,Nia-Nia,2026-06-18,2,0
healthzone,Mongbwalu,2026-06-18,0,3
healthzone,Komanda,2026-06-18,1,0
healthzone,Kilo,2026-06-18,0,1
healthzone,Damas,2026-06-18,0,1
healthzone,Katwa,2026-06-18,2,0
national,,2026-06-19,30,19
province,Ituri,2026-06-19,30,19
healthzone,Nizi,2026-06-19,3,2
healthzone,Nyakunde,2026-06-19,2,0
healthzone,Lita,2026-06-19,1,0
healthzone,Bunia,2026-06-19,10,2
healthzone,Rwampara,2026-06-19,7,0
healthzone,Damas,2026-06-19,1,0
healthzone,Lolwa,2026-06-19,1,0
healthzone,Tchomia,2026-06-19,2,0
healthzone,Mongbwalu,2026-06-19,2,14
healthzone,Mangala,2026-06-19,0,1
healthzone,Bambu,2026-06-19,1,0
national,,2026-06-20,53,13
province,Nord-Kivu,2026-06-20,5,2
province,Ituri,2026-06-20,48,11
healthzone,Tchomia,2026-06-20,2,0
healthzone,Bunia,2026-06-20,20,2
healthzone,Nizi,2026-06-20,4,1
healthzone,Mongbwalu,2026-06-20,1,2
healthzone,Rwampara,2026-06-20,7,2
healthzone,Katwa,2026-06-20,5,0
healthzone,Nia-Nia,2026-06-20,2,0
healthzone,Aungba,2026-06-20,1,0
healthzone,Lita,2026-06-20,1,0
healthzone,Mambasa,2026-06-20,0,1
healthzone,Mangala,2026-06-20,3,2
healthzone,Kilo,2026-06-20,1,0
healthzone,Nyakunde,2026-06-20,2,0
healthzone,Damas,2026-06-20,1,0
healthzone,Komanda,2026-06-20,3,1
healthzone,Beni,2026-06-20,0,2
national,,2026-06-21,45,9
province,Ituri,2026-06-21,45,9
healthzone,Bunia,2026-06-21,15,2
healthzone,Nyakunde,2026-06-21,2,0
healthzone,Nizi,2026-06-21,4,0
healthzone,Kambala,2026-06-21,1,0
healthzone,Rwampara,2026-06-21,11,3
healthzone,Lita,2026-06-21,1,1
healthzone,Nia-Nia,2026-06-21,3,0
healthzone,Mongbwalu,2026-06-21,5,3
healthzone,Bambu,2026-06-21,1,0
healthzone,Drodro,2026-06-21,1,0
healthzone,Mangala,2026-06-21,1,0
national,,2026-06-22,32,11
province,Ituri,2026-06-22,28,10
province,Nord-Kivu,2026-06-22,4,1
healthzone,Nizi,2026-06-22,1,5
healthzone,Katwa,2026-06-22,3,1
healthzone,Rwampara,2026-06-22,10,1
healthzone,Nyakunde,2026-06-22,2,0
healthzone,Bunia,2026-06-22,10,0
healthzone,Beni,2026-06-22,1,0
healthzone,Bambu,2026-06-22,0,1
healthzone,Tchomia,2026-06-22,2,0
healthzone,Komanda,2026-06-22,1,0
healthzone,Nia-Nia,2026-06-22,1,0
healthzone,Mongbwalu,2026-06-22,0,3
healthzone,Mangala,2026-06-22,1,0
national,,2026-06-23,32,7
province,Ituri,2026-06-23,29,6
province,Nord-Kivu,2026-06-23,3,1
healthzone,Nyakunde,2026-06-23,3,0
healthzone,Bunia,2026-06-23,8,2
healthzone,Rwampara,2026-06-23,7,1
healthzone,Nizi,2026-06-23,4,0
healthzone,Mongbwalu,2026-06-23,2,1
healthzone,Tchomia,2026-06-23,1,0
healthzone,Bambu,2026-06-23,1,1
healthzone,Musienene,2026-06-23,1,0
healthzone,Lita,2026-06-23,3,0
healthzone,Beni,2026-06-23,0,1
healthzone,Mangala,2026-06-23,0,1
healthzone,Katwa,2026-06-23,2,0
national,,2026-06-24,35,14
province,Nord-Kivu,2026-06-24,3,0
province,Ituri,2026-06-24,32,14
healthzone,Nyakunde,2026-06-24,1,0
healthzone,Bambu,2026-06-24,0,1
healthzone,Rwampara,2026-06-24,12,2
healthzone,Mangala,2026-06-24,1,2
healthzone,Bunia,2026-06-24,4,3
healthzone,Komanda,2026-06-24,0,2
healthzone,Mongbwalu,2026-06-24,4,0
healthzone,Nizi,2026-06-24,6,2
healthzone,Lita,2026-06-24,1,1
healthzone,Logo,2026-06-24,1,0
healthzone,Mandima,2026-06-24,1,1
healthzone,Katwa,2026-06-24,1,0
healthzone,Nia-Nia,2026-06-24,1,0
healthzone,Beni,2026-06-24,1,0
healthzone,Masereka,2026-06-24,1,0
national,,2026-06-25,47,14
province,Ituri,2026-06-25,44,14
province,Nord-Kivu,2026-06-25,3,0
healthzone,Nyakunde,2026-06-25,1,0
healthzone,Butembo,2026-06-25,1,0
healthzone,Nizi,2026-06-25,5,3
healthzone,Bunia,2026-06-25,9,2
healthzone,Nia-Nia,2026-06-25,6,2
healthzone,Rwampara,2026-06-25,10,3
healthzone,Mongbwalu,2026-06-25,7,1
healthzone,Kilo,2026-06-25,1,0
healthzone,Komanda,2026-06-25,0,1
healthzone,Lita,2026-06-25,3,1
healthzone,Mangala,2026-06-25,0,1
healthzone,Mandima,2026-06-25,2,0
healthzone,Katwa,2026-06-25,2,0
national,,2026-06-26,37,7
province,Nord-Kivu,2026-06-26,5,0
province,Ituri,2026-06-26,32,7
healthzone,Rwampara,2026-06-26,7,1
healthzone,Beni,2026-06-26,1,0
healthzone,Mambasa,2026-06-26,1,1
healthzone,Bunia,2026-06-26,10,1
healthzone,Nyakunde,2026-06-26,1,0
healthzone,Mandima,2026-06-26,1,0
healthzone,Nizi,2026-06-26,7,2
healthzone,Musienene,2026-06-26,1,0
healthzone,Tchomia,2026-06-26,0,1
healthzone,Mongbwalu,2026-06-26,3,0
healthzone,Nia-Nia,2026-06-26,1,0
healthzone,Lita,2026-06-26,1,0
healthzone,Komanda,2026-06-26,0,1
healthzone,Katwa,2026-06-26,3,0
national,,2026-06-27,37,14
province,Nord-Kivu,2026-06-27,3,0
province,Ituri,2026-06-27,34,13
province,Haut-Uele,2026-06-27,0,1
healthzone,Nizi,2026-06-27,8,1
healthzone,Rwampara,2026-06-27,5,1
healthzone,Nyakunde,2026-06-27,1,1
healthzone,Beni,2026-06-27,1,0
healthzone,Mongbwalu,2026-06-27,4,2
healthzone,Butembo,2026-06-27,1,0
healthzone,Bunia,2026-06-27,10,5
healthzone,Nia-Nia,2026-06-27,3,0
healthzone,Wamba,2026-06-27,0,1
healthzone,Bambu,2026-06-27,2,0
healthzone,Damas,2026-06-27,1,0
healthzone,Mangala,2026-06-27,0,3
healthzone,Katwa,2026-06-27,1,0
national,,2026-06-28,40,12
province,Ituri,2026-06-28,35,11
province,Nord-Kivu,2026-06-28,5,1
healthzone,Bunia,2026-06-28,8,4
healthzone,Rwampara,2026-06-28,9,1
healthzone,Nyakunde,2026-06-28,1,0
healthzone,Mongbwalu,2026-06-28,4,0
healthzone,Lita,2026-06-28,1,1
healthzone,Beni,2026-06-28,1,1
healthzone,Nizi,2026-06-28,6,3
healthzone,Kilo,2026-06-28,2,0
healthzone,Butembo,2026-06-28,2,0
healthzone,Nia-Nia,2026-06-28,2,0
healthzone,Mangala,2026-06-28,2,1
healthzone,Katwa,2026-06-28,2,0
healthzone,Bambu,2026-06-28,0,1
national,,2026-06-29,34,7
province,Ituri,2026-06-29,31,6
province,Nord-Kivu,2026-06-29,3,0
province,Haut-Uele,2026-06-29,0,1
healthzone,Bunia,2026-06-29,8,0
healthzone,Nizi,2026-06-29,3,0
healthzone,Nia-Nia,2026-06-29,3,0
healthzone,Rwampara,2026-06-29,5,2
healthzone,Nyakunde,2026-06-29,1,0
healthzone,Mangala,2026-06-29,2,2
healthzone,Lolwa,2026-06-29,0,1
healthzone,Bambu,2026-06-29,1,1
healthzone,Kyondo,2026-06-29,1,0
healthzone,Mongbwalu,2026-06-29,7,0
healthzone,Wamba,2026-06-29,0,1
healthzone,Tchomia,2026-06-29,1,0
healthzone,Musienene,2026-06-29,1,0
healthzone,Katwa,2026-06-29,1,0
